# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=10][T/m^n] polynom_b[n=12][T/m^n] polynom_b[n=14][T/m^n] 
+5.4800000000000004e+01 +8.3221191050066400e-05 -7.6478821539968678e+01 +8.4288822761958420e+02 -8.0647089550047172e+06 +4.7353982826577118e+10 -3.7872868910658825e+14 +9.6602375862868454e+17 -1.2831181974728819e+20 
+5.4900000000000006e+01 +8.3223869343689347e-05 -7.6479888539131764e+01 +9.0950558617703905e+02 -9.5140263949978985e+06 +6.2158902650191711e+10 -4.5544274210628562e+14 +1.1612970770160156e+18 -3.2226551848151535e+20 
+5.5000000000000000e+01 +8.3226547786296432e-05 -7.6480955584393158e+01 +9.7612527672380634e+02 -1.0963388017776323e+07 +7.6964220284200531e+10 -5.3215862964145812e+14 +1.3565745811305692e+18 -5.1622296103154785e+20 
+5.5100000000000001e+01 +8.3223274641521709e-05 -7.6479791366414105e+01 +9.0724912983130616e+02 -9.3946229579396266e+06 +6.0382709980849319e+10 -4.4390779369753175e+14 +1.1271699045549951e+18 -2.8474225185837800e+20 
+5.5200000000000003e+01 +8.3220001435120868e-05 -7.6478627128811951e+01 +8.3837197034441954e+02 -7.8258384278882844e+06 +4.3801022367711449e+10 -3.5565613268062494e+14 +8.9776333171570189e+17 -5.3259836430342193e+19 
+5.5300000000000004e+01 +8.3216728226679734e-05 -7.6477462890323878e+01 +7.6949476164513112e+02 -6.2570529457297735e+06 +2.7219326239610588e+10 -2.6740443310696053e+14 +6.6835667290019136e+17 +1.7822265403993106e+20 
+5.5400000000000006e+01 +8.3213454960862472e-05 -7.6476298635088625e+01 +7.0061673959662596e+02 -4.6882525041209841e+06 +1.0637498411899288e+10 -1.7915213674780031e+14 +4.3894867142183066e+17 +4.0970633173433745e+20 
+5.5500000000000000e+01 +8.3210181799537634e-05 -7.6475134411975120e+01 +6.3174033623835589e+02 -3.1194826559747080e+06 -5.9440544112819204e+09 -9.0901107135745688e+13 +2.0954355776486877e+17 +6.4118742811906789e+20 
+5.5600000000000001e+01 +8.3206908595447797e-05 -7.6473970174792100e+01 +5.6286318643843265e+02 -1.5506981393763372e+06 -2.2525743125132145e+10 -2.6494364552924526e+12 -1.9863045789633060e+16 +8.7266987752853694e+20 
+5.5700000000000003e+01 +8.3203635500261108e-05 -7.6472805971207094e+01 +4.9398773530172622e+02 +1.8054185545156135e+04 -3.9107141835148369e+10 +8.5600896001792656e+13 -2.4926659407592870e+17 +1.1041495925835167e+21 
+5.5800000000000004e+01 +8.3200362164236849e-05 -7.6471641694040144e+01 +4.2510860202384185e+02 +1.5868756608049353e+06 -5.5689158703542114e+10 +1.7385406237573147e+14 -4.7867657663878598e+17 +1.3356350388788792e+21 
+5.5900000000000006e+01 +8.3197089031548962e-05 -7.6470477478749899e+01 +3.5623255387586374e+02 +3.1556393735629842e+06 -7.2270660508569290e+10 +2.6210487238550375e+14 -7.0808121852913165e+17 +1.5671157350802805e+21 
+5.6000000000000000e+01 +8.3193815741733346e-05 -7.6469313216571720e+01 +2.8735420022682945e+02 +4.7244458013619967e+06 -8.8852540083375031e+10 +3.5035739926998844e+14 -9.3748973063580429e+17 +1.7985998579683775e+21 
+5.6100000000000001e+01 +8.3194911863061557e-05 -7.6470031501240371e+01 +3.3746747884047591e+02 +3.5692538938277522e+06 -7.6496090400889969e+10 +2.8396984796403631e+14 -7.6379598516814042e+17 +1.6226969606363470e+21 
+5.6200000000000003e+01 +8.3196007987696084e-05 -7.6470749788079871e+01 +3.8758090537259665e+02 +2.4140586762091015e+06 -6.4139607540889503e+10 +2.1758213173696262e+14 -5.9010184197548032e+17 +1.4467936921113930e+21 
+5.6300000000000004e+01 +8.3197103941838328e-05 -7.6471468023425501e+01 +4.3769177841865604e+02 +1.2589110668984519e+06 -5.1783547782518913e+10 +1.5119634588436688e+14 -4.1641206405609139e+17 +1.2708942987448051e+21 
+5.6400000000000006e+01 +8.3198200018497599e-05 -7.6472186295247866e+01 +4.8780444421061770e+02 +1.0373023463290253e+05 -3.9427194049900581e+10 +8.4809223164440547e+13 -2.4271927062858179e+17 +1.0949922338056288e+21 
+5.6500000000000000e+01 +8.3199296122948456e-05 -7.6472904576346949e+01 +5.3791759682191082e+02 -1.0514600185239296e+06 -2.7070754333766472e+10 +1.8421700198464719e+13 -6.9025557780163800e+16 +9.1908934230841740e+20 
+5.6600000000000001e+01 +8.3200392195607997e-05 -7.6473622847383552e+01 +5.8803023535145144e+02 -2.2066404754912588e+06 -1.4714403171294178e+10 -4.7965413157842727e+13 +1.0466721821355093e+17 +7.4318729045683942e+20 
+5.6700000000000003e+01 +8.3201488121794061e-05 -7.6474341073267468e+01 +6.3814060102565713e+02 -3.3617780694168215e+06 -2.3584363684633064e+09 -1.1435076022715231e+14 +2.7835597638270755e+17 +5.6728882285444779e+20 
+5.6800000000000004e+01 +8.3202584243989987e-05 -7.6475059359228879e+01 +6.8825397648860860e+02 -4.5169722082151407e+06 +9.9980359253702869e+09 -1.8073842439764516e+14 +4.5204999434553811e+17 +3.9138567127627661e+20 
+5.6900000000000006e+01 +8.3203680324042242e-05 -7.6475777631543863e+01 +7.3836664857368339e+02 -5.6721529136043247e+06 +2.2354386893573666e+10 -2.4712552868229884e+14 +6.2574273554936858e+17 +2.1548366033424964e+20 
+5.7000000000000000e+01 +8.3204776344443388e-05 -7.6476495887164006e+01 +7.8847853478891011e+02 -6.8273195107412990e+06 +3.4710616034570770e+10 -3.1351208956479656e+14 +7.9943427012354688e+17 +3.9582704608216777e+19 
+5.7100000000000001e+01 +8.3203431694044562e-05 -7.6476120454383974e+01 +7.6861070292012562e+02 -6.3515096617653454e+06 +2.9537894778040752e+10 -2.8567959931695656e+14 +7.2722488100192627e+17 +1.1156860373546929e+20 
+5.7200000000000003e+01 +8.3202086975163488e-05 -7.6475744999274653e+01 +7.4874170440262674e+02 -5.8756772211665008e+06 +2.4364966892893040e+10 -2.5784614486533919e+14 +6.5501327163814950e+17 +1.8355650329648257e+20 
+5.7300000000000004e+01 +8.3200742143615215e-05 -7.6475369509482618e+01 +7.2887096244660631e+02 -5.3998119365101559e+06 +1.9191744727343922e+10 -2.3001133891333162e+14 +5.8279858945839488e+17 +2.5554714303082240e+20 
+5.7400000000000006e+01 +8.3199397523622866e-05 -7.6474994085153327e+01 +7.0900352557319354e+02 -4.9240091318008285e+06 +1.4019083937672913e+10 -2.0217911695416234e+14 +5.1058979331151674e+17 +3.2753252571099162e+20 
+5.7500000000000000e+01 +8.3198052846887414e-05 -7.6474618643266638e+01 +6.8913519910178525e+02 -4.4481894432533002e+06 +8.8462708924738274e+09 -1.7434619190644438e+14 +4.3837939112265062e+17 +3.9951934629553648e+20 
+5.7600000000000001e+01 +8.3196708178452330e-05 -7.6474243204172197e+01 +6.6926702074387151e+02 -3.9723726488964013e+06 +3.6734844831376548e+09 -1.4651339173314116e+14 +3.6616927754939302e+17 +4.7150590603864919e+20 
+5.7700000000000003e+01 +8.3195363454156479e-05 -7.6473867747327702e+01 +6.4939793519374825e+02 -3.4965385837492119e+06 -1.4994578159186370e+09 -1.1867987166918789e+14 +2.9395752014542950e+17 +5.4349393675611924e+20 
+5.7800000000000004e+01 +8.3194018751613208e-05 -7.6473492297007084e+01 +6.2952917194412044e+02 -3.0207105255891844e+06 -6.6723466499369888e+09 -9.0846596126314562e+13 +2.2174631725019229e+17 +6.1548147377936492e+20 
+5.7900000000000006e+01 +8.3192674039897938e-05 -7.6473116844779639e+01 +6.0966033911110185e+02 -2.5448814687428256e+06 -1.1845242541608950e+10 -6.3013294340219562e+13 +1.4953506504306938e+17 +6.8746904774978411e+20 
+5.8000000000000000e+01 +8.3191329259545556e-05 -7.6472741371267873e+01 +5.8979043277049334e+02 -2.0690321554233541e+06 -1.7018320080798363e+10 -3.5179157973358875e+13 +7.7321914919189760e+16 +7.5945831431636373e+20 
+5.8100000000000001e+01 +8.3191619805241253e-05 -7.6472908155409186e+01 +6.0165062603864601e+02 -2.2873668371792645e+06 -1.5072504265256998e+10 -4.4188946089069531e+13 +9.8149206504975776e+16 +7.4051006412496031e+20 
+5.8200000000000003e+01 +8.3191910249391456e-05 -7.6473074910687501e+01 +6.1350944826140096e+02 -2.5056767638173909e+06 -1.3126903048611486e+10 -5.3197774319593016e+13 +1.1897436218153098e+17 +7.2156368485970844e+20 
+5.8300000000000004e+01 +8.3192200836345573e-05 -7.6473241707411574e+01 +6.2537026693776124e+02 -2.7240230954007320e+06 -1.1180983935237738e+10 -6.2208032400815398e+13 +1.3980271339694867e+17 +7.0261449673229363e+20 
+5.8400000000000006e+01 +8.3192491262825706e-05 -7.6473408456226565e+01 +6.3722873090997064e+02 -2.9423258323275144e+06 -9.2354500623959103e+09 -7.1216541011515594e+13 +1.6062712374484016e+17 +6.8366879557894485e+20 
+5.8500000000000000e+01 +8.3192781681595631e-05 -7.6473575203103238e+01 +6.4908710665163483e+02 -3.1606269849812197e+06 -7.2899300813034859e+09 -8.0224986312557969e+13 +1.8145139019297917e+17 +6.6472322321119314e+20 
+5.8600000000000001e+01 +8.3193072192750721e-05 -7.6473741977633765e+01 +6.6094685214975016e+02 -3.3789537136878269e+06 -5.3441822616820650e+09 -8.9234473833124766e+13 +2.0227801956086730e+17 +6.4577554811572650e+20 
+5.8700000000000003e+01 +8.3193362591597021e-05 -7.6473908718173121e+01 +6.7280490496108644e+02 -3.5972487466680398e+06 -3.3987172405062008e+09 -9.8242666594139516e+13 +2.2310171206343875e+17 +6.2683048709855628e+20 
+5.8800000000000004e+01 +8.3193653195260956e-05 -7.6474075519940214e+01 +6.8466597934879951e+02 -3.8155999762341455e+06 -1.4527534479550037e+09 -1.0725313338810653e+14 +2.4393054519815101e+17 +6.0788086326624138e+20 
+5.8900000000000006e+01 +8.3193943656054788e-05 -7.6474242279453847e+01 +6.9652498011955674e+02 -4.0339127617300348e+06 +4.9286978252260590e+08 -1.1626204929097308e+14 +2.6475587500878886e+17 +5.8893434753100926e+20 
+5.9000000000000000e+01 +8.3194234077529173e-05 -7.6474409027556064e+01 +7.0838343692988440e+02 -4.2522157638450749e+06 +2.4384088117150316e+09 -1.2527059179833623e+14 +2.8558038143713610e+17 +5.6998854657529938e+20 
+5.9100000000000001e+01 +8.3190172829088316e-05 -7.6473677616661476e+01 +6.7613054358481043e+02 -3.6045696156487209e+06 -3.8627037300590520e+09 -9.3555353119320922e+13 +2.0594265773586883e+17 +6.4888714368142737e+20 
+5.9200000000000003e+01 +8.3186111324935828e-05 -7.6472946130127767e+01 +6.4387395123373744e+02 -2.9568551973869670e+06 -1.0164418296935108e+10 -6.1837384635948430e+13 +1.2629879186490099e+17 +7.2779117070574564e+20 
+5.9300000000000004e+01 +8.3182049910303339e-05 -7.6472214670049595e+01 +6.1161864913568195e+02 -2.3091645212196778e+06 -1.6465924092617704e+10 -3.0120360370696590e+13 +4.6657045673513736e+16 +8.0669332763719827e+20 
+5.9400000000000006e+01 +8.3177988718153716e-05 -7.6471483277642761e+01 +5.7936672622375727e+02 -1.6615372335459827e+06 -2.2766863609604759e+10 +1.5940688437698059e+12 -3.2978810008777532e+16 +8.8559023847290988e+20 
+5.9500000000000000e+01 +8.3173927236753983e-05 -7.6470751796895257e+01 +5.4711038155169672e+02 -1.0138268739787536e+06 -2.9068546022288448e+10 +3.3311905043375934e+13 -1.1262240355069054e+17 +9.6449404362210856e+20 
+5.9600000000000001e+01 +8.3169865917153671e-05 -7.6470020366210690e+01 +5.1485656587552069e+02 -3.6616434805434436e+05 -3.5369798479580376e+10 +6.5027761572655062e+13 -1.9226148662549456e+17 +1.0433938196263807e+21 
+5.9700000000000003e+01 +8.3165804652710992e-05 -7.6469288951724678e+01 +4.8260353755804744e+02 +2.8148371102214191e+05 -4.1670923781973534e+10 +9.6743042940460547e+13 -2.7189927795393414e+17 +1.1222924553011471e+21 
+5.9800000000000004e+01 +8.3161743296608683e-05 -7.6468557509148724e+01 +4.5034910154406560e+02 +9.2915822790617810e+05 -4.7972285710347603e+10 +1.2845940940234508e+14 -3.5153953331243712e+17 +1.2011932859473189e+21 
+5.9900000000000006e+01 +8.3157681909964534e-05 -7.6467826058299082e+01 +4.1809428461112606e+02 +1.5768394711797298e+06 -5.4273704983974472e+10 +1.6017602905780422e+14 -4.3118034625564979e+17 +1.2800946008842843e+21 
+6.0000000000000000e+01 +8.3153620509557522e-05 -7.6467094601973301e+01 +3.8583915373004828e+02 +2.2245271309652338e+06 -6.0575185054043877e+10 +1.9189293956541744e+14 -5.1082184143412314e+17 +1.3589965393379365e+21 
+6.0100000000000001e+01 +8.3151969801826197e-05 -7.6466657797443574e+01 +3.6487895884084287e+02 +2.6888964268515920e+06 -6.5378928464431450e+10 +2.1699057756506484e+14 -5.7493339713457082e+17 +1.4225242621511234e+21 
+6.0200000000000003e+01 +8.3150318997988508e-05 -7.6466220964859474e+01 +3.4391740339935177e+02 +3.1532906900411677e+06 -7.0182891132106110e+10 +2.4208920665892247e+14 -6.3904717744364378e+17 +1.4860539478260701e+21 
+6.0300000000000004e+01 +8.3148668085683994e-05 -7.6465784097966946e+01 +3.2295408799561335e+02 +3.6177186215330968e+06 -7.4987159086839615e+10 +2.6718925118696594e+14 -7.0316420087055424e+17 +1.5495865440472426e+21 
+6.0400000000000006e+01 +8.3147017396955006e-05 -7.6465347301094496e+01 +3.0199433522924141e+02 +4.0820788508714167e+06 -7.9790816479315918e+10 +2.9228647758896288e+14 -7.6727479147810253e+17 +1.6131133854383281e+21 
+6.0500000000000000e+01 +8.3145366545233609e-05 -7.6464910453899847e+01 +2.8103204959822568e+02 +4.5464868103514360e+06 -8.4594901444420792e+10 +3.1738566676592656e+14 -8.3138984222292595e+17 +1.6766442017621106e+21 
+6.0600000000000001e+01 +8.3143715829801820e-05 -7.6464473646945279e+01 +2.6007173071744847e+02 +5.0108584716388825e+06 -8.9398666259266174e+10 +3.4248340386632531e+14 -8.9550162477995738e+17 +1.7401721280518097e+21 
+6.0700000000000003e+01 +8.3142064956050275e-05 -7.6464036794494888e+01 +2.3910923110662173e+02 +5.4752697978317244e+06 -9.4202776996309921e+10 +3.6758269594954594e+14 -9.5961688181115251e+17 +1.8037031084331780e+21 
+6.0800000000000004e+01 +8.3140414263813378e-05 -7.6463599994015297e+01 +2.1814921234051562e+02 +5.9396361808481300e+06 -9.9006497216414688e+10 +3.9268023836197550e+14 -1.0237282407857862e+18 +1.8672306712760728e+21 
+6.0900000000000006e+01 +8.3138763472787082e-05 -7.6463163165765167e+01 +1.9718789003341558e+02 +6.4040258286337219e+06 -1.0381041694628102e+11 +4.1777866439204081e+14 -1.0878415484487232e+18 +1.9307599273333587e+21 
+6.1000000000000000e+01 +8.3137112649238069e-05 -7.6462726326490468e+01 +1.7622597453364128e+02 +6.8684272200568579e+06 -1.0861444592575426e+11 +4.4287760707859631e+14 -1.1519560586541578e+18 +1.9942902764568746e+21 
+6.1100000000000001e+01 +8.3138181719972541e-05 -7.6463591289488264e+01 +2.3497999545129372e+02 +5.5663976926503452e+06 -9.5097966558803452e+10 +3.7178826132763350e+14 -9.6878420030114406e+17 +1.8108750246881615e+21 
+6.1200000000000003e+01 +8.3139250951038803e-05 -7.6464456300428111e+01 +2.9373637408285640e+02 +4.2643245003765365e+06 -8.1581101244261292e+10 +3.0069716260471844e+14 -7.8560839268726285e+17 +1.6274562781629936e+21 
+6.1300000000000004e+01 +8.3140320100260202e-05 -7.6465321287555511e+01 +3.5249160455171130e+02 +2.9622722559600826e+06 -6.8064418915981781e+10 +2.2960688712885359e+14 -6.0243442525581389e+17 +1.4440391493596055e+21 
+6.1400000000000006e+01 +8.3141389154465009e-05 -7.6466186243915786e+01 +4.1124523699474076e+02 +1.6602508042281352e+06 -5.4548017074124146e+10 +1.5851791604347606e+14 -4.1926345280114298e+17 +1.2606247124712990e+21 
+6.1500000000000000e+01 +8.3142458220968952e-05 -7.6467051205596221e+01 +4.6999918758481556e+02 +3.5822268999588169e+05 -4.1031551126083191e+10 +8.7428635070967359e+13 -2.3609174809914602e+17 +1.0772096027346517e+21 
+6.1600000000000001e+01 +8.3143527270737746e-05 -7.6467916162169203e+01 +5.2875288245063496e+02 -9.4380062259261974e+05 -2.7515128064873878e+10 +1.6339550462324322e+13 -5.2920488577408000e+16 +8.9379488892478934e+20 
+6.1700000000000003e+01 +8.3144596425446956e-05 -7.6468781150174934e+01 +5.8750813367381636e+02 -2.2458529719664422e+06 -1.3998446590541586e+10 -5.4750715012468516e+13 +1.3025344552132746e+17 +7.1037779730080648e+20 
+6.1800000000000004e+01 +8.3145665518593323e-05 -7.6469646119511481e+01 +6.4626244887702035e+02 -3.5478876699976614e+06 -4.8192361206713361e+08 -1.2584025081319500e+14 +3.1342571663893894e+17 +5.2696219194713394e+20 
+6.1900000000000006e+01 +8.3146734581636086e-05 -7.6470511080392484e+01 +7.0501637022429304e+02 -4.8499154014817206e+06 +1.3034540145470957e+10 -1.9692952645642138e+14 +4.9659741826681939e+17 +3.4354707810270609e+20 
+6.2000000000000000e+01 +8.3147803684153131e-05 -7.6471376051975668e+01 +7.6377077809929176e+02 -6.1519515754629020e+06 +2.6551074528027401e+10 -2.6801910807873344e+14 +6.7976978155488538e+17 +1.6013139937573283e+20 
+6.2100000000000001e+01 +8.3143316959899801e-05 -7.6470487163613797e+01 +7.1882033230556215e+02 -5.1451015332700871e+06 +1.5843687636238258e+10 -2.1034330588460169e+14 +5.2806860607052480e+17 +3.1462202991576803e+20 
+6.2200000000000003e+01 +8.3138830432917502e-05 -7.6469598334323820e+01 +6.7387280069368569e+02 -4.1383056398760523e+06 +5.1367808203831644e+09 -1.5266969012297253e+14 +3.7637236815839763e+17 +4.6910828198318342e+20 
+6.2300000000000004e+01 +8.3134343773900481e-05 -7.6468709464362931e+01 +6.2892322489851006e+02 -3.1314712579403929e+06 -5.5704706068417406e+09 -9.4994492884231406e+13 +2.2467253713814611e+17 +6.2359773602157442e+20 
+6.2400000000000006e+01 +8.3129857019047847e-05 -7.6467820566239936e+01 +5.8397227155645589e+02 -2.1246113791188453e+06 -1.6277947717643400e+10 -3.7318268275268352e+13 +7.2970385648348224e+16 +7.7808924879364699e+20 
+6.2500000000000000e+01 +8.3125370458793932e-05 -7.6466931726771634e+01 +5.3902423225132179e+02 -1.1178059876346968e+06 -2.6984939137588295e+10 +2.0355734127924496e+13 -7.8726727709135504e+16 +9.3257627879633663e+20 
+6.2600000000000001e+01 +8.3120883791257412e-05 -7.6466042854522797e+01 +4.9407454622121622e+02 -1.1096953930928651e+05 -3.7692209269787804e+10 +7.8031018652863391e+13 -2.3042676070244269e+17 +1.0870659160930150e+21 
+6.2700000000000003e+01 +8.3116397051169756e-05 -7.6465153960020217e+01 +4.4912374913966846e+02 +8.9588770162354480e+05 -4.8399664618653168e+10 +1.3570714953501309e+14 -3.8212870972823923e+17 +1.2415572556835261e+21 
+6.2800000000000004e+01 +8.3111910469951125e-05 -7.6464265115102023e+01 +4.0417546622608216e+02 +1.9026972916742179e+06 -5.9106691091018829e+10 +1.9338130387582103e+14 -5.3382615224750323e+17 +1.3960445674270593e+21 
+6.2900000000000006e+01 +8.3107423607269544e-05 -7.6463376184200627e+01 +3.5922288184592952e+02 +2.9095876414130437e+06 -6.9814439342436951e+10 +2.5105876658365625e+14 -6.8553110516007782e+17 +1.5505385681391583e+21 
+6.3000000000000000e+01 +8.3102937080096372e-05 -7.6462487354188227e+01 +3.1427529188011317e+02 +3.9163849346860591e+06 -8.0521360746950104e+10 +3.0873245671957200e+14 -8.3722752566072269e+17 +1.7050249928939738e+21 
+6.3100000000000001e+01 +8.3099334142323685e-05 -7.6461895895067443e+01 +2.8818894476600030e+02 +4.4709232311038692e+06 -8.6090044302294754e+10 +3.3705103958513081e+14 -9.0778359102793421e+17 +1.7734264718203436e+21 
+6.3200000000000003e+01 +8.3095731246743363e-05 -7.6461304447627271e+01 +2.6210314722866246e+02 +5.0254516335148737e+06 -9.1658642076944214e+10 +3.6536923814786156e+14 -9.7833879929963021e+17 +1.8418271980506634e+21 
+6.3300000000000004e+01 +8.3092128217932389e-05 -7.6460712961533090e+01 +2.3601548345365836e+02 +5.5800141710096244e+06 -9.7227538880021881e+10 +3.9368878581706206e+14 -1.0488970312240956e+18 +1.9102305889477334e+21 
+6.3400000000000006e+01 +8.3088525156624013e-05 -7.6460121462253525e+01 +2.0992705128708104e+02 +6.1345925912316600e+06 -1.0279658736541093e+11 +4.2200906329749188e+14 -1.1194569823407227e+18 +1.9786355562158196e+21 
+6.3500000000000000e+01 +8.3084922342291565e-05 -7.6459530041010467e+01 +1.8384260748452814e+02 +6.6890950236754343e+06 -1.0836494945711108e+11 +4.5032616920189638e+14 -1.1900096882747323e+18 +2.0470340382460150e+21 
+6.3600000000000001e+01 +8.3081319183974037e-05 -7.6458938513779259e+01 +1.5775283317015820e+02 +7.2436978937287880e+06 -1.1393421147908505e+11 +4.7864740785283750e+14 -1.2605717896969999e+18 +2.1154408977917304e+21 
+6.3700000000000003e+01 +8.3077716169314517e-05 -7.6458347031088181e+01 +1.3166530521946763e+02 +7.7982583697579531e+06 -1.1950309325014131e+11 +5.0696689899736669e+14 -1.3311299161325801e+18 +2.1838442115412677e+21 
+6.3800000000000004e+01 +8.3074113226506863e-05 -7.6457755569919314e+01 +1.0557884564514829e+02 +8.3527988527848860e+06 -1.2507179656498250e+11 +5.3528557241700800e+14 -1.4016861858959258e+18 +2.2522458709768080e+21 
+6.3900000000000006e+01 +8.3070510402762836e-05 -7.6457164144944926e+01 +7.9494185501934950e+01 +8.9073057575317174e+06 -1.3064020144863626e+11 +5.6360288472282438e+14 -1.4722393793039099e+18 +2.3206448011076853e+21 
+6.4000000000000000e+01 +8.3066907274793360e-05 -7.6456572626532278e+01 +5.3404836074456128e+01 +9.4619008721786421e+06 -1.3620939564237497e+11 +5.9192381772128950e+14 -1.5428007962699377e+18 +2.3890510578177094e+21 
+6.4100000000000009e+01 +8.3065639225735798e-05 -7.6457087969254530e+01 +9.8083377872441375e+01 +8.4433597562697027e+06 -1.2552461103319154e+11 +5.3533649958172219e+14 -1.3959398674508552e+18 +2.2406934376417903e+21 
+6.4200000000000003e+01 +8.3064370989714727e-05 -7.6457603254470044e+01 +1.4275903484347100e+02 +7.4248728552027373e+06 -1.1484031102661557e+11 +4.7875140208514931e+14 -1.2490839774510262e+18 +2.0923403027583622e+21 
+6.4299999999999997e+01 +8.3063102978584902e-05 -7.6458118608422566e+01 +1.8743812862549734e+02 +6.4063214815132897e+06 -1.0415543530131613e+11 +4.2216366786977919e+14 -1.1022221062749828e+18 +1.9439818444806564e+21 
+6.4400000000000006e+01 +8.3061834773167024e-05 -7.6458633902622083e+01 +2.3211421475627483e+02 +5.3878268729836578e+06 -9.3471069152200500e+10 +3.6557827807468025e+14 -9.5536557404808422e+17 +1.7956281540652148e+21 
+6.4500000000000000e+01 +8.3060566572772430e-05 -7.6459149197385557e+01 +2.7679030446118367e+02 +4.3693324544031732e+06 -8.2786706056784866e+10 +3.0899290609634594e+14 -8.0850908773508070e+17 +1.6472745076549091e+21 
+6.4600000000000009e+01 +8.3059298460340595e-05 -7.6459664520910337e+01 +3.2146789287949252e+02 +3.3508091233175076e+06 -7.2102079507719421e+10 +2.5240630891493606e+14 -6.6164978862013107e+17 +1.4989183335389334e+21 
+6.4700000000000003e+01 +8.3058030381160929e-05 -7.6460179854808416e+01 +3.6614600743848990e+02 +2.3322758205138729e+06 -6.1417363241257637e+10 +1.9581929849359847e+14 -5.1478954796571923e+17 +1.3505613185067587e+21 
+6.4799999999999997e+01 +8.3056762161203994e-05 -7.6460695144246174e+01 +4.1082184719422554e+02 +1.3137859248244928e+06 -5.0733039684617821e+10 +1.3923410529238702e+14 -3.6793346404105318e+17 +1.2022080285421270e+21 
+6.4900000000000006e+01 +8.3055494078632306e-05 -7.6461210474656497e+01 +4.5549970717125285e+02 +2.9525846080690151e+05 -4.0048382619885162e+10 +8.2647390997202641e+13 -2.2107394017015718e+17 +1.0538516840355525e+21 
+6.5000000000000000e+01 +8.3054225900113958e-05 -7.6461725777857410e+01 +5.0017627547897467e+02 -7.2324567516388372e+05 -2.9363927922763275e+10 +2.6061582666093012e+13 -7.4216434086767904e+16 +9.0549710859979928e+20 
+6.5100000000000009e+01 +8.3053733982601388e-05 -7.6462515592362024e+01 +5.5406019343293406e+02 -1.8509568292656734e+06 -1.8186585167410652e+10 -3.0508334582728398e+13 +6.6748345001531944e+16 +7.6860271176614452e+20 
+6.5200000000000003e+01 +8.3053241709409397e-05 -7.6463305300426626e+01 +6.0793885940150517e+02 -2.9785703462211299e+06 -7.0101085915669308e+09 -8.7074304358917094e+13 +2.0770420385456938e+17 +6.3171622993860533e+20 
+6.5299999999999997e+01 +8.3052749575676990e-05 -7.6464095049426845e+01 +6.6181952294141934e+02 -4.1062207384429481e+06 +4.1666935590915961e+09 -1.4364175283801291e+14 +3.4866339575945440e+17 +4.9482679634626078e+20 
+6.5400000000000006e+01 +8.3052257561320840e-05 -7.6464884835215514e+01 +7.1570203196780380e+02 -5.2339057927085077e+06 +1.5343805302266102e+10 -2.0021061887562238e+14 +4.8962580178694490e+17 +3.5793450372238213e+20 
+6.5500000000000000e+01 +8.3051765343097547e-05 -7.6465674559087660e+01 +7.6958146168364874e+02 -6.3615333401041795e+06 +2.6520405474730892e+10 -2.5677714952507500e+14 +6.3058292476520064e+17 +2.2104690199032758e+20 
+6.5600000000000009e+01 +8.3051273405453904e-05 -7.6466464368349278e+01 +8.2346514762691197e+02 -7.4892405388201401e+06 +3.7697715520686211e+10 -3.1334692610389150e+14 +7.7154740104547904e+17 +8.4152763002094191e+19 
+6.5700000000000003e+01 +8.3050781130763099e-05 -7.6467254075513722e+01 +8.7734375389961849e+02 -8.6168527412018180e+06 +4.8874179065998955e+10 -3.6991283163758556e+14 +9.1250310594977459e+17 -5.2733575867190624e+19 
+6.5799999999999997e+01 +8.3050289101022567e-05 -7.6468043855730073e+01 +9.3122595696176745e+02 -9.7445317042959761e+06 +6.0051234145777161e+10 -4.2648143033247225e+14 +1.0534648917486740e+18 -1.8962530672357550e+20 
+6.5900000000000006e+01 +8.3049796905193632e-05 -7.6468833586636251e+01 +9.8510574150251443e+02 -1.0872165918122236e+07 +7.1227893750073898e+10 -4.8304823235816100e+14 +1.1944226281543309e+18 -3.2651345243032525e+20 
+6.6000000000000000e+01 +8.3049304810077525e-05 -7.6469623347283488e+01 +1.0389869808156593e+03 -1.1999827010726679e+07 +8.2404790716544189e+10 -5.3961611230827362e+14 +1.3353827935726766e+18 -4.6340374854177122e+20 
+6.6100000000000009e+01 +8.3044051381208207e-05 -7.6468863049341564e+01 +1.0097643452117825e+03 -1.1400414501154207e+07 +7.6512354314814575e+10 -5.1018407536939269e+14 +1.2631220309957061e+18 -3.9417881075015752e+20 
+6.6200000000000003e+01 +8.3038797764002224e-05 -7.6468102691534725e+01 +9.8053863871086048e+02 -1.0800943328136126e+07 +7.0619386929920700e+10 -4.8074958099564288e+14 +1.1908556473026793e+18 -3.2494883602960227e+20 
+6.6299999999999997e+01 +8.3033544268222494e-05 -7.6467342373279507e+01 +9.5131499376343345e+02 -1.0201511987538997e+07 +6.4726783176670204e+10 -4.5131678079518788e+14 +1.1185931596099775e+18 -2.5572236771532482e+20 
+6.6400000000000006e+01 +8.3028290623912460e-05 -7.6466582008359339e+01 +9.2208897208918734e+02 -9.6020354594093002e+06 +5.8833771773275970e+10 -4.2188209851833700e+14 +1.0463263746959886e+18 -1.8649205417334004e+20 
